CPU 0 is empty
CPU 1 is empty
CPU 2 is empty
CPU 3 is empty
CPU 5 is empty
CPU 7 is empty
CPU 8 is empty
CPU 9 is empty
CPU 10 is empty
CPU 11 is empty
cpus=12
   hello-21407   4.... 12086.028845: funcgraph_entry:        2.658 us   |  mutex_unlock();
   hello-21407   4.... 12086.028848: funcgraph_entry:        0.583 us   |  __fsnotify_parent();
   hello-21407   4.... 12086.028849: funcgraph_entry:        0.484 us   |  fsnotify();
   hello-21407   4.... 12086.028850: funcgraph_entry:        0.392 us   |  __sb_end_write();
   hello-21407   4.... 12086.028851: funcgraph_entry:                   |  __f_unlock_pos() {
   hello-21407   4.... 12086.028851: funcgraph_entry:        0.396 us   |    mutex_unlock();
   hello-21407   4.... 12086.028852: funcgraph_exit:         1.066 us   |  }
   hello-21407   4d... 12086.028852: funcgraph_entry:        0.385 us   |  fpregs_assert_state_consistent();
   hello-21407   4d... 12086.028857: funcgraph_entry:                   |  do_syscall_64() {
   hello-21407   4.... 12086.028857: funcgraph_entry:                   |    __x64_sys_execve() {
   hello-21407   4.... 12086.028858: funcgraph_entry:                   |      getname() {
   hello-21407   4.... 12086.028858: funcgraph_entry:                   |        getname_flags() {
   hello-21407   4.... 12086.028858: funcgraph_entry:                   |          kmem_cache_alloc() {
   hello-21407   4.... 12086.028859: funcgraph_entry:                   |            _cond_resched() {
   hello-21407   4.... 12086.028859: funcgraph_entry:        0.334 us   |              rcu_all_qs();
   hello-21407   4.... 12086.028860: funcgraph_exit:         0.982 us   |            }
   hello-21407   4.... 12086.028860: funcgraph_entry:        0.340 us   |            should_failslab();
   hello-21407   4.... 12086.028861: funcgraph_entry:        0.409 us   |            memcg_kmem_put_cache();
   hello-21407   4.... 12086.028862: funcgraph_exit:         3.410 us   |          }
   hello-21407   4.... 12086.028862: funcgraph_entry:                   |          __check_object_size() {
   hello-21407   4.... 12086.028863: funcgraph_entry:        0.390 us   |            check_stack_object();
   hello-21407   4.... 12086.028863: funcgraph_entry:        0.367 us   |            __virt_addr_valid();
   hello-21407   4.... 12086.028864: funcgraph_entry:        0.368 us   |            __check_heap_object();
   hello-21407   4.... 12086.028865: funcgraph_exit:         2.531 us   |          }
   hello-21407   4.... 12086.028865: funcgraph_exit:         7.102 us   |        }
   hello-21407   4.... 12086.028866: funcgraph_exit:         7.860 us   |      }
   hello-21407   4.... 12086.028866: funcgraph_entry:                   |      __do_execve_file.isra.0() {
   hello-21407   4.... 12086.028866: funcgraph_entry:                   |        unshare_files() {
   hello-21407   4.... 12086.028867: funcgraph_entry:        0.346 us   |          unshare_fd();
   hello-21407   4.... 12086.028867: funcgraph_exit:         1.051 us   |        }
   hello-21407   4.... 12086.028868: funcgraph_entry:                   |        kmem_cache_alloc_trace() {
   hello-21407   4.... 12086.028868: funcgraph_entry:                   |          _cond_resched() {
   hello-21407   4.... 12086.028868: funcgraph_entry:        0.337 us   |            rcu_all_qs();
   hello-21407   4.... 12086.028869: funcgraph_exit:         0.996 us   |          }
   hello-21407   4.... 12086.028869: funcgraph_entry:        0.340 us   |          should_failslab();
   hello-21407   4.... 12086.028871: funcgraph_entry:        0.473 us   |          memcg_kmem_put_cache();
   hello-21407   4.... 12086.028871: funcgraph_exit:         3.744 us   |        }
   hello-21407   4.... 12086.028872: funcgraph_entry:                   |        mutex_lock_interruptible() {
   hello-21407   4.... 12086.028872: funcgraph_entry:                   |          _cond_resched() {
   hello-21407   4.... 12086.028872: funcgraph_entry:        0.331 us   |            rcu_all_qs();
   hello-21407   4.... 12086.028873: funcgraph_exit:         1.017 us   |          }
   hello-21407   4.... 12086.028874: funcgraph_exit:         1.840 us   |        }
   hello-21407   4.... 12086.028874: funcgraph_entry:                   |        prepare_exec_creds() {
   hello-21407   4.... 12086.028874: funcgraph_entry:                   |          prepare_creds() {
   hello-21407   4.... 12086.028875: funcgraph_entry:                   |            kmem_cache_alloc() {
   hello-21407   4.... 12086.028875: funcgraph_entry:                   |              _cond_resched() {
   hello-21407   4.... 12086.028876: funcgraph_entry:        0.338 us   |                rcu_all_qs();
   hello-21407   4.... 12086.028876: funcgraph_exit:         1.004 us   |              }
   hello-21407   4.... 12086.028877: funcgraph_entry:        0.350 us   |              should_failslab();
   hello-21407   4.... 12086.028877: funcgraph_entry:        0.702 us   |              memcg_kmem_get_cache();
   hello-21407   4.... 12086.028879: funcgraph_entry:        0.426 us   |              memcg_kmem_put_cache();
   hello-21407   4.... 12086.028880: funcgraph_exit:         4.921 us   |            }
   hello-21407   4.... 12086.028880: funcgraph_entry:                   |            security_prepare_creds() {
   hello-21407   4.... 12086.028881: funcgraph_entry:                   |              __kmalloc() {
   hello-21407   4.... 12086.028881: funcgraph_entry:        0.330 us   |                kmalloc_slab();
   hello-21407   4.... 12086.028882: funcgraph_entry:                   |                _cond_resched() {
   hello-21407   4.... 12086.028882: funcgraph_entry:        0.333 us   |                  rcu_all_qs();
   hello-21407   4.... 12086.028883: funcgraph_exit:         0.995 us   |                }
   hello-21407   4.... 12086.028883: funcgraph_entry:        0.346 us   |                should_failslab();
   hello-21407   4.... 12086.028884: funcgraph_entry:        0.559 us   |                memcg_kmem_get_cache();
   hello-21407   4.... 12086.028885: funcgraph_entry:        0.362 us   |                memcg_kmem_put_cache();
   hello-21407   4.... 12086.028886: funcgraph_exit:         5.056 us   |              }
   hello-21407   4.... 12086.028886: funcgraph_entry:        0.384 us   |              apparmor_cred_prepare();
   hello-21407   4.... 12086.028887: funcgraph_exit:         6.847 us   |            }
   hello-21407   4.... 12086.028887: funcgraph_exit:       + 13.092 us  |          }
   hello-21407   4.... 12086.028888: funcgraph_entry:        0.352 us   |          key_put();
   hello-21407   4.... 12086.028888: funcgraph_entry:        0.338 us   |          key_put();
   hello-21407   4.... 12086.028889: funcgraph_exit:       + 15.124 us  |        }
   hello-21407   4.... 12086.028890: funcgraph_entry:        0.375 us   |        _raw_spin_lock();
   hello-21407   4.... 12086.028890: funcgraph_entry:                   |        do_open_execat() {
   hello-21407   4.... 12086.028891: funcgraph_entry:                   |          do_filp_open() {
   hello-21407   4.... 12086.028891: funcgraph_entry:                   |            path_openat() {
   hello-21407   4.... 12086.028892: funcgraph_entry:                   |              alloc_empty_file() {
   hello-21407   4.... 12086.028892: funcgraph_entry:                   |                __alloc_file() {
   hello-21407   4.... 12086.028892: funcgraph_entry:                   |                  kmem_cache_alloc() {
   hello-21407   4.... 12086.028893: funcgraph_entry:                   |                    _cond_resched() {
   hello-21407   4.... 12086.028893: funcgraph_entry:        0.340 us   |                      rcu_all_qs();
   hello-21407   4.... 12086.028894: funcgraph_exit:         0.971 us   |                    }
   hello-21407   4.... 12086.028894: funcgraph_entry:        0.348 us   |                    should_failslab();
   hello-21407   4.... 12086.028895: funcgraph_entry:        0.395 us   |                    memcg_kmem_get_cache();
   hello-21407   4.... 12086.028895: funcgraph_entry:                   |                    __slab_alloc() {
   hello-21407   4d... 12086.028896: funcgraph_entry:        0.471 us   |                      ___slab_alloc();
   hello-21407   4.... 12086.028897: funcgraph_exit:         1.157 us   |                    }
   hello-21407   4d... 12086.028900: funcgraph_entry:                   |                    smp_irq_work_interrupt() {
   hello-21407   4d... 12086.028900: funcgraph_entry:                   |                      irq_enter() {
   hello-21407   4d... 12086.028900: funcgraph_entry:        0.372 us   |                        rcu_irq_enter();
   hello-21407   4d... 12086.028965: funcgraph_entry:        0.642 us   |                        idle_cpu();
   hello-21407   4d... 12086.028966: funcgraph_entry:        0.711 us   |                        rcu_irq_exit();
   hello-21407   4d... 12086.028968: funcgraph_exit:         3.017 us   |                      }
   hello-21407   4d... 12086.028968: funcgraph_exit:       + 68.353 us  |                    }
   hello-21407   4.... 12086.028969: funcgraph_entry:        0.528 us   |                    memcg_kmem_put_cache();
   hello-21407   4.... 12086.028970: funcgraph_exit:       + 78.102 us  |                  }
   hello-21407   4.... 12086.028971: funcgraph_entry:                   |                  security_file_alloc() {
   hello-21407   4.... 12086.028971: funcgraph_entry:                   |                    kmem_cache_alloc() {
   hello-21407   4.... 12086.028972: funcgraph_entry:                   |                      _cond_resched() {
   hello-21407   4.... 12086.028973: funcgraph_entry:                   |                        rcu_all_qs() {
   hello-21407   4d... 12086.028975: funcgraph_entry:                   |                          smp_irq_work_interrupt() {
   hello-21407   4d... 12086.028976: funcgraph_entry:                   |                            irq_enter() {
   hello-21407   4d... 12086.028976: funcgraph_entry:        0.504 us   |                              rcu_irq_enter();
   hello-21407   4d... 12086.029049: funcgraph_entry:        0.621 us   |                              idle_cpu();
   hello-21407   4d... 12086.029051: funcgraph_entry:        0.704 us   |                              rcu_irq_exit();
   hello-21407   4d... 12086.029052: funcgraph_exit:         2.935 us   |                            }
   hello-21407   4d... 12086.029052: funcgraph_exit:       + 76.991 us  |                          }
   hello-21407   4.... 12086.029054: funcgraph_exit:       + 80.963 us  |                        }
   hello-21407   4.... 12086.029054: funcgraph_exit:       + 82.253 us  |                      }
   hello-21407   4.... 12086.029055: funcgraph_entry:        0.647 us   |                      should_failslab();
   hello-21407   4.... 12086.029056: funcgraph_entry:        0.691 us   |                      memcg_kmem_put_cache();
   hello-21407   4.... 12086.029058: funcgraph_exit:       + 86.112 us  |                    }
   hello-21407   4.... 12086.029058: funcgraph_entry:                   |                    apparmor_file_alloc_security() {
   hello-21407   4.... 12086.029059: funcgraph_entry:                   |                      _cond_resched() {
   hello-21407   4.... 12086.029059: funcgraph_entry:        0.486 us   |                        rcu_all_qs();
   hello-21407   4.... 12086.029060: funcgraph_exit:         1.465 us   |                      }
   hello-21407   4.... 12086.029061: funcgraph_exit:         2.674 us   |                    }
   hello-21407   4.... 12086.029062: funcgraph_exit:       + 90.507 us  |                  }
   hello-21407   4.... 12086.029062: funcgraph_entry:        0.573 us   |                  __mutex_init();
   hello-21407   4.... 12086.029063: funcgraph_exit:       ! 171.216 us |                }
   hello-21407   4.... 12086.029064: funcgraph_exit:       ! 172.152 us |              }
   hello-21407   4.... 12086.029064: funcgraph_entry:        0.956 us   |              path_init();
   hello-21407   4.... 12086.029066: funcgraph_entry:                   |              link_path_walk.part.0() {
   hello-21407   4.... 12086.029066: funcgraph_entry:                   |                inode_permission() {
   hello-21407   4.... 12086.029067: funcgraph_entry:                   |                  generic_permission() {
   hello-21407   4.... 12086.029068: funcgraph_entry:        0.524 us   |                    get_cached_acl_rcu();
   hello-21407   4.... 12086.029069: funcgraph_entry:        0.671 us   |                    in_group_p();
   hello-21407   4.... 12086.029070: funcgraph_exit:         2.952 us   |                  }
   hello-21407   4.... 12086.029070: funcgraph_entry:        0.535 us   |                  security_inode_permission();
   hello-21407   4.... 12086.029071: funcgraph_exit:         5.194 us   |                }
   hello-21407   4.... 12086.029072: funcgraph_entry:        0.583 us   |                walk_component();
   hello-21407   4.... 12086.029073: funcgraph_entry:                   |                inode_permission() {
   hello-21407   4.... 12086.029074: funcgraph_entry:                   |                  generic_permission() {
   hello-21407   4.... 12086.029074: funcgraph_entry:        0.462 us   |                    get_cached_acl_rcu();
   hello-21407   4.... 12086.029075: funcgraph_entry:        0.424 us   |                    in_group_p();
   hello-21407   4.... 12086.029076: funcgraph_exit:         2.243 us   |                  }
   hello-21407   4.... 12086.029077: funcgraph_entry:        0.499 us   |                  security_inode_permission();
   hello-21407   4.... 12086.029077: funcgraph_exit:         4.219 us   |                }
   hello-21407   4.... 12086.029078: funcgraph_exit:       + 12.463 us  |              }
   hello-21407   4.... 12086.029079: funcgraph_entry:                   |              do_last() {
   hello-21407   4.... 12086.029079: funcgraph_entry:                   |                lookup_fast() {
   hello-21407   4.... 12086.029080: funcgraph_entry:        0.942 us   |                  __d_lookup_rcu();
   hello-21407   4.... 12086.029081: funcgraph_entry:        0.527 us   |                  __follow_mount_rcu.isra.0();
   hello-21407   4.... 12086.029082: funcgraph_exit:         2.992 us   |                }
   hello-21407   4.... 12086.029083: funcgraph_entry:                   |                complete_walk() {
   hello-21407   4.... 12086.029084: funcgraph_entry:                   |                  unlazy_walk() {
   hello-21407   4.... 12086.029084: funcgraph_entry:        0.574 us   |                    legitimize_links();
   hello-21407   4.... 12086.029085: funcgraph_entry:                   |                    legitimize_path.isra.0() {
   hello-21407   4.... 12086.029086: funcgraph_entry:        0.876 us   |                      __legitimize_mnt();
   hello-21407   4.... 12086.029088: funcgraph_exit:         2.413 us   |                    }
   hello-21407   4.... 12086.029089: funcgraph_entry:        1.092 us   |                    legitimize_root();
   hello-21407   4.... 12086.029090: funcgraph_exit:         6.748 us   |                  }
   hello-21407   4.... 12086.029091: funcgraph_exit:         7.963 us   |                }
   hello-21407   4.... 12086.029092: funcgraph_entry:                   |                may_open.isra.0() {
   hello-21407   4.... 12086.029093: funcgraph_entry:                   |                  inode_permission() {
   hello-21407   4.... 12086.029093: funcgraph_entry:                   |                    generic_permission() {
   hello-21407   4.... 12086.029094: funcgraph_entry:                   |                      get_acl() {
   hello-21407   4.... 12086.029095: funcgraph_entry:        0.639 us   |                        get_cached_acl();
   hello-21407   4.... 12086.029096: funcgraph_exit:         1.771 us   |                      }
   hello-21407   4.... 12086.029096: funcgraph_entry:        0.580 us   |                      in_group_p();
   hello-21407   4.... 12086.029097: funcgraph_exit:         4.157 us   |                    }
   hello-21407   4.... 12086.029098: funcgraph_entry:        0.627 us   |                    security_inode_permission();
   hello-21407   4.... 12086.029099: funcgraph_exit:         6.562 us   |                  }
   hello-21407   4.... 12086.029100: funcgraph_exit:         7.923 us   |                }
   hello-21407   4.... 12086.029100: funcgraph_entry:                   |                vfs_open() {
   hello-21407   4.... 12086.029101: funcgraph_entry:                   |                  do_dentry_open() {
   hello-21407   4.... 12086.029102: funcgraph_entry:                   |                    path_get() {
   hello-21407   4.... 12086.029102: funcgraph_entry:        0.563 us   |                      mntget();
   hello-21407   4.... 12086.029103: funcgraph_exit:         1.748 us   |                    }
   hello-21407   4.... 12086.029104: funcgraph_entry:        0.668 us   |                    try_module_get();
   hello-21407   4.... 12086.029105: funcgraph_entry:                   |                    security_file_open() {
   hello-21407   4.... 12086.029106: funcgraph_entry:        0.681 us   |                      apparmor_file_open();
   hello-21407   4.... 12086.029107: funcgraph_entry:                   |                      __fsnotify_parent() {
   hello-21407   4.... 12086.029108: funcgraph_entry:        0.582 us   |                        dget_parent();
